,STATE,AVGGIFT
0,IL,7.741935484
1,CA,15.66666667
2,NC,7.481481481
3,CA,6.8125
4,FL,6.864864865
5,AL,12.75
6,IN,7.642857143
7,LA,6.2
8,IA,18.09090909
9,TN,9.333333333
10,KS,20.0
11,IN,12.5
12,MN,5.333333333
13,LA,20.41666667
14,UT,10.57142857
15,CA,12.5
16,MI,12.33333333
17,IL,25.0
18,FL,8.1
19,NC,15.0
20,MI,25.0
21,FL,26.66666667
22,IL,8.307692308
23,MN,9.0
24,CA,17.83333333
25,IL,50.0
26,MO,8.875
27,TX,8.5
28,IL,8.142857143
29,MO,20.0
30,NC,20.0
31,FL,16.92307692
32,OR,17.22222222
33,OR,12.3125
34,TX,25.0
35,CA,16.16666667
36,MN,12.0
37,MN,9.4
38,IL,22.90909091
39,MI,9.818181818
40,WA,15.0
41,FL,17.0
42,WI,11.65517241
43,AL,7.6875
44,IN,11.375
45,WA,7.357142857
46,TX,21.0
47,IL,9.818181818
48,NC,14.57142857
49,NC,10.63636364
50,FL,10.41666667
51,IL,9.8
52,CA,16.0
53,CA,9.166666667
54,AL,13.33333333
55,TX,11.0
56,IN,8.75
57,TX,23.0
58,GA,15.0
59,OK,9.111111111
60,TX,7.857142857
61,GA,20.0
62,NC,5.833333333
63,FL,15.90909091
64,IL,6.833333333
65,CA,30.0
66,IN,16.66666667
67,CA,3.5
68,SC,19.1875
69,KY,20.0
70,NC,15.0
71,CA,6.184761905
72,MI,10.92857143
73,MD,27.5
74,IL,9.363636364
75,FL,8.0
76,WI,20.0
77,FL,9.2
78,TX,8.75
79,SD,15.0
80,CA,9.571428571
81,GA,11.66666667
82,CA,11.22222222
83,KY,18.25
84,FL,50.0
85,TX,18.0
86,NV,25.0
87,NC,9.769230769
88,KY,4.428571429
89,OR,6.444444444
90,NE,6.782608696
91,AZ,10.57142857
92,MO,6.652173913
93,FL,6.25
94,CA,20.0
95,FL,13.0952381
96,CA,14.8
97,SC,9.769230769
98,TX,13.66666667
99,CA,24.0
100,LA,4.428571429
101,FL,37.77777778
102,ND,10.33333333
103,CA,24.0
104,TX,8.619047619
105,TX,15.66666667
106,NC,15.0
107,CA,18.72727273
108,NV,9.0
109,LA,16.33333333
110,OK,8.333333333
111,TX,41.42424242
112,AK,11.0
113,MO,9.5
114,AL,8.625
115,FL,5.055555556
116,FL,15.0
117,CA,7.523809524
118,FL,32.5
119,MN,7.272727273
120,LA,6.4
121,KS,25.0
122,FL,12.2
123,IL,11.23076923
124,AZ,14.57142857
125,IL,23.5
126,IL,12.5
127,MI,14.55555556
128,CA,10.6
129,MI,10.42857143
130,IL,43.75
131,TX,15.11111111
132,MI,16.0
133,AK,16.0
134,WA,7.08
135,IL,9.666666667
136,FL,11.65217391
137,MI,15.0
138,MO,15.4
139,IN,12.22222222
140,CA,51.0
141,FL,5.285714286
142,IN,7.666666667
143,OR,15.0
144,TX,7.818181818
145,CA,17.5
146,TX,16.83333333
147,AR,24.5
148,NM,12.42105263
149,FL,8.6
150,AL,8.3125
151,CA,15.66666667
152,MI,18.875
153,TN,10.44444444
154,OK,7.25
155,MT,4.318421053
156,NC,7.333333333
157,SC,11.88888889
158,FL,8.421052632
159,LA,15.0
160,GA,23.0
161,CA,6.583333333
162,GA,12.5
163,MI,12.33333333
164,FL,4.555555556
165,KY,25.0
166,TX,15.88235294
167,CA,31.75
168,MI,8.777777778
169,CA,15.0
170,CA,23.0
171,FL,10.33333333
172,WA,14.0
173,MS,15.0
174,NC,6.666666667
175,AP,20.0
176,KS,10.0
177,CA,75.0
178,FL,7.1875
179,MN,50.0
180,CA,13.0
181,CO,25.0
182,NC,5.083333333
183,CA,10.5
184,TX,15.0
185,FL,10.0
186,CA,25.0
187,GA,25.0
188,MI,5.769230769
189,LA,6.551724138
190,WA,8.75
191,GA,10.66666667
192,MI,4.466666667
193,WA,11.66666667
194,CA,19.75
195,FL,17.0
196,WA,9.75
197,TX,14.77777778
198,CA,12.61538462
199,CA,12.5
200,NM,12.0
201,CA,13.25
202,CA,11.75
203,IN,12.42857143
204,NC,13.66666667
205,NC,17.5
206,AL,12.0
207,FL,8.0
208,AR,5.8
209,CA,12.16666667
210,CA,15.0
211,IL,6.117647059
212,IL,15.0
213,CA,15.0
214,MT,12.5
215,FL,10.53333333
216,FL,20.3
217,TX,15.33333333
218,GA,9.583333333
219,FL,7.461538462
220,CA,7.25
221,NC,15.0
222,MN,8.625
223,CA,7.2
224,MO,18.33333333
225,WI,9.1
226,MO,8.757575758
227,TX,11.91666667
228,KS,5.764705882
229,FL,15.0
230,CA,13.85714286
231,MO,6.545454545
232,OK,8.5
233,MN,7.666666667
234,CA,20.0
235,CA,7.0
236,OR,10.53333333
237,CA,12.5
238,FL,8.111111111
239,IL,8.866666667
240,AZ,12.0
241,FL,13.83333333
242,CA,28.0
243,TX,20.6875
244,LA,20.0
245,MI,17.33333333
246,OK,4.142857143
247,IN,16.82352941
248,AA,25.0
249,GA,13.0
250,MN,8.222222222
251,GA,15.33333333
252,MI,8.444444444
253,CA,12.33333333
254,WI,7.166666667
255,AL,12.20588235
256,MI,7.333333333
257,GA,10.57142857
258,MO,7.428571429
259,IL,11.85714286
260,GA,14.0
261,NC,35.0
262,TX,37.5
263,IL,14.21428571
264,CA,15.0
265,LA,5.0
266,CA,9.0
267,MI,13.61538462
268,NC,15.0
269,CA,12.33333333
270,AZ,12.6
271,WI,8.0
272,GA,18.13333333
273,IL,25.0
274,NC,14.625
275,IL,19.33333333
276,CA,16.25
277,MS,18.75
278,FL,16.66666667
279,TX,9.5625
280,NM,8.307692308
281,AZ,13.0
282,NC,8.555555556
283,WI,10.2
284,MI,15.28571429
285,CA,20.0
286,TX,12.5
287,IL,11.66666667
288,CA,7.263157895
289,TN,10.0
290,WA,14.0
291,FL,11.05555556
292,FL,13.0
293,MO,100.0
294,NC,9.1
295,TX,37.5
296,WI,12.75
297,OR,13.0
298,MI,20.0
299,WA,11.0
300,TX,9.583333333
301,IA,15.0
302,CA,4.764705882
303,HI,12.75
304,TX,20.0
305,MI,12.125
306,MI,9.0
307,IL,25.0
308,MN,3.84
309,CA,8.846153846
310,TX,7.642857143
311,NC,14.5
312,WI,13.9
313,NC,10.59090909
314,TN,20.0
315,TN,9.142857143
316,CA,15.37545455
317,NV,20.0
318,FL,4.8
319,MS,5.5
320,MI,25.66666667
321,HI,15.07333333
322,TN,8.166666667
323,IL,7.0625
324,IL,29.16666667
325,WI,10.14285714
326,WA,8.476190476
327,CA,10.0
328,IL,25.0
329,TN,16.75
330,TN,9.25
331,WI,16.27272727
332,OR,13.68627451
333,NC,3.460526316
334,WI,12.8
335,FL,3.545454546
336,IL,11.75
337,MI,10.36363636
338,CA,17.42857143
339,MI,2.8
340,CA,10.81818182
341,FL,13.6
342,CA,15.0
343,TX,12.33333333
344,TN,20.0
345,IL,12.5
346,TN,15.72727273
347,CO,8.2
348,CA,36.0
349,ME,17.77777778
350,AL,13.0
351,CA,7.333333333
352,OR,12.14285714
353,TX,68.11111111
354,NC,11.0
355,FL,12.6
356,IL,12.75
357,MN,6.625
358,SD,17.5
359,ND,4.368421053
360,IL,14.61538462
361,IN,11.5
362,AZ,6.725
363,MI,11.28571429
364,CA,11.42857143
365,CA,3.0
366,IN,12.5
367,WI,6.882352941
368,CA,22.5
369,CO,5.166666667
370,CA,28.35135135
371,AR,6.8
372,NC,7.5
373,AR,13.85714286
374,TX,18.0
375,AZ,10.0
376,NM,5.888888889
377,OK,15.25
378,AP,22.75
379,CA,22.0952381
380,MI,23.57142857
381,FL,10.77777778
382,AL,3.8125
383,MI,13.66666667
384,OR,12.0
385,NC,24.16666667
386,KS,11.66666667
387,CA,15.0
388,MI,15.23076923
389,IA,12.28571429
390,CO,20.0
391,FL,8.833333333
392,MO,20.0
393,CO,14.2
394,FL,3.866666667
395,MI,20.0
396,AZ,9.833333333
397,WA,15.0
398,CO,11.0
399,KS,10.0625
400,KS,15.0
401,CA,4.846153846
402,OK,5.428571429
403,CA,2.069767442
404,OR,10.0
405,IN,15.125
406,CA,9.5
407,TX,9.333333333
408,CA,16.66666667
409,CA,18.0
410,CA,16.75
411,IL,7.875
412,MO,10.57142857
413,FL,10.0
414,CA,24.0
415,TX,12.125
416,GA,22.5
417,CA,12.71428571
418,CA,16.0
419,CA,7.0
420,MO,9.5625
421,OR,17.5784507
422,WA,15.2
423,OK,8.384615385
424,MI,10.5
425,CO,6.5
426,KY,11.0
427,AK,11.53846154
428,WA,6.642857143
429,NE,12.125
430,CA,13.07142857
431,TX,12.0
432,GA,5.333333333
433,NC,10.0
434,GA,11.0
435,NC,20.0
436,WA,13.0
437,MI,11.17647059
438,FL,25.0
439,CA,18.2
440,CA,17.5
441,NV,11.66666667
442,MO,7.833333333
443,MS,5.444444444
444,IN,6.0
445,TX,15.0
446,MN,20.0
447,IL,11.0
448,TX,5.75
449,CA,14.375
450,FL,24.0
451,FL,9.0
452,IL,13.0
453,GA,20.0
454,MI,12.33333333
455,MI,18.33333333
456,CA,11.0
457,OK,12.33333333
458,AZ,5.333333333
459,IL,3.652173913
460,CA,9.434782609
461,WA,14.8
462,UT,13.33333333
463,FL,9.25
464,IL,8.888888889
465,TX,17.0
466,NE,10.0
467,CA,15.25
468,NC,10.44444444
469,MT,10.18181818
470,IA,12.83333333
471,TN,14.25
472,MO,7.833333333
473,CA,9.032258065
474,IL,5.5
475,LA,12.5
476,MO,4.928571429
477,MN,27.91666667
478,MN,6.95
479,MS,10.5
480,KS,9.333333333
481,WA,19.0
482,TX,8.333333333
483,IL,14.0
484,CA,10.26666667
485,MO,15.0
486,FL,7.0
487,MN,12.08153846
488,NE,11.0
489,UT,15.0
490,CA,17.0
491,WA,9.666666667
492,CO,9.666666667
493,AL,7.727272727
494,LA,9.761904762
495,WA,10.0
496,UT,12.90909091
497,KY,11.0
498,IL,15.0
499,FL,17.0
500,KY,6.733333333
501,CA,14.06666667
502,NV,14.0
503,IL,9.95
504,GA,8.239130435
505,MO,42.53333333
506,FL,16.6
507,MO,8.636363636
508,CA,20.0
509,FL,7.861764706
510,AL,7.47368421
511,IL,13.0
512,IL,12.41025641
513,CA,7.705882353
514,IL,13.0
515,MO,6.958333333
516,CA,13.2
517,MT,15.0
518,CA,9.0
519,AZ,10.33333333
520,AZ,15.0
521,IL,20.0
522,MS,7.888888889
523,WA,4.529411765
524,CA,9.583333333
525,MN,9.142857143
526,WA,4.961538462
527,MN,17.13333333
528,IN,22.5
529,CA,15.42857143
530,NC,18.33333333
531,MI,10.66666667
532,FL,16.33333333
533,AZ,7.5
534,IL,12.5
535,MO,4.088235294
536,NV,6.75
537,IL,13.75
538,MS,10.5
539,FL,18.55555556
540,SC,12.625
541,CA,5.32
542,OR,7.3
543,FL,6.75
544,OR,4.833333333
545,MO,11.0
546,AZ,8.153846154
547,IA,10.15789474
548,GA,25.0
549,IA,8.705882353
550,CA,15.0
551,WA,9.0
552,GA,16.5
553,WA,16.66666667
554,IN,13.33333333
555,CA,20.0
556,SC,9.2
557,FL,8.0
558,MN,8.6
559,CA,14.92592593
560,CA,15.0
561,CA,16.0
562,MO,10.07142857
563,LA,10.44444444
564,NM,13.36363636
565,TX,13.5
566,CA,14.0
567,NC,25.0
568,AR,17.5
569,FL,15.0
570,CA,24.6
571,KS,18.25
572,FL,12.5
573,TX,18.0
574,GA,12.0
575,TX,10.15789474
576,IN,8.871333333
577,WA,6.47368421
578,CA,5.466666667
579,AL,25.0
580,CA,9.625
581,FL,71.75
582,MS,10.75
583,CA,11.75
584,CA,10.0
585,IL,25.0
586,LA,9.25
587,CA,12.52941177
588,WA,100.3571429
589,KY,10.33333333
590,CA,9.25
591,MN,5.636363636
592,TX,16.33333333
593,WA,15.0
594,MI,10.0
595,WI,3.205128205
596,TX,8.705882353
597,OR,10.0
598,CA,10.0
599,CA,13.0
600,TX,20.0
601,MS,30.16666667
602,IN,5.727272727
603,MI,5.785714286
604,NC,10.0
605,TX,7.0
606,WI,8.5
607,FL,13.16666667
608,CA,13.0
609,WA,12.8
610,FL,10.4
611,CA,9.696969697
612,WA,12.5
613,NC,4.875
614,WI,11.93103448
615,WI,7.6
616,WA,11.5
617,FL,15.0
618,WA,20.0
619,FL,12.57692308
620,CA,25.5
621,AZ,20.0
622,WA,19.375
623,OR,8.583333333
624,CA,17.5
625,IL,8.307692308
626,MO,9.833333333
627,AR,10.0
628,MN,8.6
629,CA,24.27272727
630,CA,5.933333333
631,MO,20.0
632,CA,51.66666667
633,TX,12.0
634,WA,12.5
635,GA,20.0
636,NC,17.75
637,CA,14.0
638,TX,20.33333333
639,KS,13.66666667
640,MO,12.0
641,AZ,6.769230769
642,NC,6.941176471
643,NC,20.0
644,FL,12.75
645,OR,20.0
646,AZ,9.631578947
647,IL,20.66666667
648,SD,10.0
649,IL,9.666666667
650,CA,20.36363636
651,FL,2.419354839
652,GA,23.33333333
653,TN,8.411764706
654,CA,20.0
655,IL,12.0
656,IA,9.625
657,WA,17.8
658,MI,19.33333333
659,FL,25.0
660,FL,7.923076923
661,NV,10.0
662,CA,10.0
663,IL,4.045454546
664,TX,10.36363636
665,AL,11.2
666,TN,20.0
667,OK,12.0
668,MS,8.0
669,MI,11.53
670,WI,3.097560976
671,LA,8.571428571
672,TX,8.333333333
673,CA,10.33333333
674,MI,25.0
675,WA,25.0
676,FL,13.4
677,FL,14.55555556
678,CA,6.0
679,MI,6.48
680,NV,10.0
681,TX,15.33333333
682,OK,29.66666667
683,CA,12.6
684,OK,13.0
685,MI,13.66666667
686,MO,11.75
687,MN,7.083333333
688,MI,9.0
689,NC,20.0
690,CA,12.90909091
691,CA,15.0
692,FL,35.0
693,CA,18.77419355
694,MT,7.75
695,WA,15.66666667
696,CA,67.33333333
697,CA,5.076923077
698,IN,14.25
699,WY,4.655172414
700,WA,8.666666667
701,OK,14.2
702,AL,15.86206897
703,AL,7.851851852
704,CO,18.6
705,GA,11.5
706,MN,3.909090909
707,IL,16.2
708,CA,22.0
709,HI,12.5
710,TX,7.666666667
711,CA,14.66666667
712,OR,7.9375
713,FL,13.0
714,FL,3.761904762
715,CO,6.75
716,MI,30.0
717,OK,6.076923077
718,CA,8.333333333
719,SC,4.804878049
720,FL,14.57894737
721,CA,18.66666667
722,CA,7.470588235
723,WA,5.428571429
724,CA,19.0
725,FL,12.09090909
726,CA,5.40625
727,CO,17.0
728,GA,20.4
729,FL,7.157894737
730,AZ,20.0
731,LA,17.0
732,IN,15.0
733,WI,15.0
734,FL,7.538461539
735,ID,6.25
736,MI,9.555555556
737,IL,10.0
738,IL,23.0
739,UT,10.22222222
740,CA,30.0
741,CA,6.8
742,KS,4.5
743,FL,17.0
744,WA,30.0
745,FL,14.0
746,CA,9.692307692
747,FL,9.25
748,WI,6.411764706
749,KY,4.9375
750,OK,10.0
751,CA,6.533333333
752,TN,25.0
753,FL,45.0
754,LA,10.84615385
755,IA,5.1875
756,WI,4.588235294
757,OR,24.61538462
758,MS,25.0
759,MI,9.315789474
760,AR,10.11111111
761,CA,8.5
762,CA,10.5
763,GA,8.8
764,FL,6.5
765,TN,6.8
766,KS,18.66666667
767,CA,15.0
768,GA,12.2
769,MI,8.5
770,FL,5.1
771,AL,15.0
772,MI,17.125
773,CA,14.44444444
774,TX,15.0
775,GA,20.0
776,CA,26.66666667
777,NC,11.42857143
778,KY,20.0
779,OK,18.2
780,IN,7.833333333
781,IL,11.625
782,KY,13.0
783,TX,25.0
784,IN,10.25
785,NC,19.0
786,TN,13.57142857
787,MO,6.75
788,FL,9.25
789,SC,7.6
790,LA,50.0
791,OR,50.0
792,TX,8.411764706
793,IL,21.0
794,CO,11.0
795,GA,48.33333333
796,TX,8.4
797,AL,12.18518519
798,IL,13.8
799,MI,12.61538462
800,IL,16.875
801,NV,11.38888889
802,TN,12.5
803,LA,6.543478261
804,KS,9.0
805,NV,10.25
806,GA,17.5
807,FL,13.48387097
808,IN,11.6
809,IL,13.28571429
810,OR,14.5
811,TX,22.5
812,CA,9.25
813,NE,8.210526316
814,KY,5.0
815,AL,7.733333333
816,CO,10.61538462
817,ND,7.791666667
818,FL,10.14285714
819,CA,14.0
820,CA,8.454545455
821,WI,7.347826087
822,CA,25.0
823,MI,6.909090909
824,MO,21.11111111
825,TN,8.0
826,WA,10.5
827,FL,8.25
828,FL,15.0
829,WI,7.5
830,MI,11.0
831,LA,17.5
832,CO,10.125
833,FL,55.0
834,WA,10.84375
835,SC,15.0
836,MN,3.647058824
837,NE,15.0
838,CA,16.33333333
839,MO,20.0
840,MT,15.0
841,FL,10.16666667
842,FL,7.0
843,NC,16.23076923
844,TX,5.5
845,MN,12.33333333
846,MN,6.615384615
847,IA,12.38461539
848,TX,20.0
849,TX,13.22222222
850,IL,15.6
851,FL,9.0
852,FL,20.0
853,CA,17.875
854,TX,25.0
855,CA,12.5
856,OK,7.125
857,WY,14.25
858,FL,17.5
859,ID,12.09090909
860,TN,20.0
861,MO,3.4
862,AR,19.3
863,CA,11.9
864,SC,16.36363636
865,MO,3.166666667
866,MO,4.291666667
867,TX,6.75
868,WI,12.0
869,CA,20.0
870,FL,13.33333333
871,NM,7.75
872,CA,32.14285714
873,MO,14.07142857
874,TN,20.0
875,WA,100.0
876,NC,8.25
877,MT,13.33333333
878,TX,12.5
879,GA,16.66666667
880,TX,8.75
881,CA,12.5
882,FL,20.0
883,TN,8.333333333
884,WI,10.2
885,AP,20.0
886,NM,4.363636364
887,MN,11.0
888,IL,23.57142857
889,IL,10.14285714
890,IL,6.0
891,FL,4.238095238
892,NM,17.5
893,TN,10.8
894,TN,9.142857143
895,GA,25.0
896,LA,10.0
897,CA,4.555555556
898,WI,4.846153846
899,CA,11.0
900,GA,15.0
901,NE,9.285714286
902,OR,12.0
903,MI,15.0
904,GA,11.125
905,AL,13.0
906,LA,20.0
907,CA,17.30769231
908,CA,31.875
909,IL,9.75
910,FL,20.0
911,NE,12.70818182
912,TX,4.8
913,CO,20.0
914,CA,21.36363636
915,MN,9.428571429
916,KS,15.0
917,CA,10.38461539
918,CA,8.333333333
919,CA,9.333333333
920,MO,6.647058824
921,MO,15.0
922,NV,14.0
923,IN,6.631578947
924,CO,7.8
925,UT,11.0
926,CA,14.42857143
927,MI,15.0
928,NC,8.166666667
929,CO,10.15789474
930,SC,27.0
931,SC,11.25
932,FL,8.125
933,CA,18.0
934,NC,25.0
935,FL,8.0
936,MO,3.648648649
937,IN,20.0
938,GA,25.0
939,FL,6.545454545
940,TX,12.5
941,CA,31.66666667
942,KS,13.75
943,OH,8.5
944,AL,13.33333333
945,NC,9.3125
946,KS,10.5
947,NC,15.0
948,MN,14.0
949,TX,11.75
950,CA,15.85714286
951,KS,7.5
952,GA,9.454545455
953,TX,21.66666667
954,FL,8.611111111
955,LA,18.0
956,GA,13.0
957,IN,8.454545455
958,MS,20.0
959,UT,6.6875
960,CA,17.5
961,OR,9.765
962,CA,12.5
963,IL,7.357142857
964,NM,10.66666667
965,UT,22.33333333
966,WA,81.75
967,TX,16.25
968,NC,6.25
969,IA,11.42857143
970,AZ,12.2
971,CA,8.882352941
972,IL,20.0
973,AZ,9.0
974,IN,11.33333333
975,HI,9.25
976,TX,17.16666667
977,WA,25.0
978,OR,11.25
979,CA,12.85714286
980,IN,12.8
981,WI,10.0
982,FL,7.6875
983,NC,8.125
984,WA,20.0
985,MT,13.0
986,IL,11.0
987,NV,15.0
988,MI,8.25
989,NC,6.590909091
990,IN,6.375
991,WI,18.84615385
992,TX,16.66666667
993,AR,14.0
994,OK,8.166666667
995,TN,10.5
996,TN,8.7
997,FL,4.0
998,CA,26.66666667
999,NC,10.14285714
1000,AZ,8.2
1001,WA,15.0
1002,CA,9.0
1003,SC,12.33333333
1004,OK,10.66666667
1005,IL,14.0
1006,OR,7.071428571
1007,LA,8.785714286
1008,NC,6.666666667
1009,KS,10.7
1010,TX,9.0
1011,LA,15.0
1012,AL,20.0
1013,MN,16.42857143
1014,MI,7.0
1015,LA,16.2
1016,CA,15.0
1017,TN,28.0
1018,OK,27.2
1019,MI,8.482758621
1020,IL,25.0
1021,IN,16.92307692
1022,GA,9.076923077
1023,ND,8.166666667
1024,CA,7.5
1025,CO,16.0
1026,KS,3.590909091
1027,CA,4.923076923
1028,KS,12.54545455
1029,MI,15.0
1030,IL,16.42857143
1031,MN,7.090909091
1032,MO,13.0
1033,NC,10.0
1034,MT,5.4
1035,CA,10.0
1036,IN,20.0
1037,CA,11.72222222
1038,CA,3.962962963
1039,WI,14.28571429
1040,MI,18.0
1041,OR,6.583333333
1042,TX,9.85
1043,CA,8.736842105
1044,NC,13.0
1045,IL,15.0
1046,TN,12.25
1047,IN,11.0
1048,CA,15.85714286
1049,TX,10.5
1050,CA,15.33333333
1051,CA,21.0
1052,FL,8.5
1053,WI,9.909090909
1054,CA,14.2
1055,CA,8.533333333
1056,AR,28.0
1057,TX,4.25
1058,NE,6.8
1059,NV,6.769230769
1060,KY,3.625
1061,FL,6.555555556
1062,TX,10.28571429
1063,TX,6.166666667
1064,CA,10.66666667
1065,ID,22.5
1066,KS,18.33333333
1067,AR,25.0
1068,FL,9.8
1069,CA,20.0
1070,AP,27.5
1071,CA,12.33333333
1072,CA,10.0
1073,IL,13.75
1074,CA,14.0
1075,FL,14.27272727
1076,TX,9.0
1077,SC,19.0
1078,CA,10.75
1079,FL,8.0
1080,MI,9.333333333
1081,MN,13.77777778
1082,NC,11.4
1083,CA,8.75
1084,FL,7.333333333
1085,AR,8.172413793
1086,CA,20.0
1087,OR,10.33333333
1088,VA,11.25
1089,AZ,6.470588235
1090,AR,10.42857143
1091,MS,12.77777778
1092,MT,7.111111111
1093,CA,8.695652174
1094,NE,12.0
1095,AL,6.75
1096,OK,12.14285714
1097,IL,10.0
1098,OR,9.5
1099,CA,13.5
1100,CA,10.25
1101,CA,6.0
1102,TX,15.0
1103,OR,6.222222222
1104,CA,19.61904762
1105,LA,15.5
1106,FL,16.5
1107,CA,13.55555556
1108,WA,12.33333333
1109,CA,6.8125
1110,CA,7.75
1111,CA,8.823529412
1112,GA,8.833333333
1113,SC,7.642857143
1114,CA,16.18181818
1115,TX,12.5
1116,MI,15.0
1117,CA,13.5
1118,IA,14.09090909
1119,TN,14.25
1120,AZ,11.57142857
1121,GA,12.5
1122,MO,12.25
1123,CA,6.636363636
1124,TX,7.826086957
1125,IN,14.5625
1126,CA,13.2
1127,WI,10.33333333
1128,TN,15.0
1129,MT,16.875
1130,FL,10.0
1131,TN,9.5
1132,IN,26.25
1133,MI,12.66666667
1134,CA,14.4
1135,GA,10.0
1136,TX,5.173913044
1137,WA,5.944444444
1138,TN,9.0
1139,MN,20.0
1140,CA,4.45
1141,WA,8.0
1142,TX,11.33333333
1143,TN,10.76470588
1144,IL,10.0
1145,MI,13.0
1146,NV,25.0
1147,CA,12.66666667
1148,NV,4.034482759
1149,TX,20.0
1150,IN,10.5
1151,FL,6.25
1152,TX,4.571428571
1153,ID,4.647058824
1154,MN,6.363636364
1155,MI,2.071428571
1156,OR,12.05047619
1157,FL,8.285714286
1158,OK,26.42857143
1159,SC,15.07692308
1160,NC,14.0
1161,OK,11.78571429
1162,MO,14.375
1163,CA,30.0
1164,SC,20.0
1165,CA,10.08333333
1166,AL,5.379310345
1167,FL,25.6
1168,IL,15.0
1169,SC,25.0
1170,CA,20.0
1171,CO,6.25
1172,MN,8.0
1173,IN,15.0
1174,OR,10.0
1175,TX,12.6875
1176,SC,7.125
1177,OK,17.0
1178,UT,12.33333333
1179,CA,40.0
1180,FL,11.14285714
1181,TN,6.142857143
1182,TN,9.571428571
1183,MO,15.0
1184,AL,14.0
1185,MN,8.888888889
1186,IA,11.66666667
1187,CA,25.0
1188,IL,13.33333333
1189,NC,8.708333333
1190,MO,9.0
1191,IL,9.0
1192,CA,33.0
1193,OR,9.384615385
1194,AL,12.6
1195,TX,9.0
1196,TX,9.25
1197,MI,12.90909091
1198,WI,6.5
1199,IL,18.0
1200,LA,4.525
1201,NV,13.0
1202,NC,15.0
1203,FL,15.0
1204,MO,15.08333333
1205,WI,13.0
1206,IA,10.91304348
1207,MI,6.75
1208,CO,9.555555556
1209,AZ,9.333333333
1210,FL,9.090909091
1211,NC,8.0
1212,IL,20.5
1213,WI,13.0
1214,WI,12.38441177
1215,FL,9.153846154
1216,MI,15.5
1217,AR,14.0
1218,IL,8.4375
1219,FL,10.42857143
1220,KY,13.5
1221,CA,20.5
1222,MS,15.0
1223,MI,11.25
1224,IL,8.7
