shapeId,shapeType,shapeLabel,pointId,pointX,pointY,source
0,point,Harrow & Wealdstone,0,52,550,
1,point,Kenton,0,114,495,
2,point,South Kenton,0,140,437,
3,point,North Wembley,0,154,396,
4,point,Wembley Central,0,176,343,
5,point,Stonebridge Park,0,240,304,
6,point,Harlesden,0,300,264,
7,point,Willesden Junction,0,332,246,
8,point,Kensal Green,0,404,233,
9,point,Queens Park,0,468,252,
10,point,Kilburn Park,0,503,259,
11,point,Maida Vale,0,530,233,
12,point,Warwick Avenue,0,533,198,
13,point,Paddington,0,562,156,
14,point,Edgware Road,0,583,181,
15,point,Marylebone,0,600,195,
16,point,Baker Street,0,620,194,
17,point,Regent's Park,0,654,199,
18,point,Oxford Circus,0,670,155,
19,point,Piccadilly Circus,0,692,129,
20,point,Charing Cross,0,720,122,
21,point,Embankment,0,732,118,
22,point,Waterloo,0,757,97,
23,point,Lambeth North,0,763,74,
24,point,Elephant & Castle,0,801,50,
